lagsnavn,orgnr,kommune,fylke,adresse,postnummer,poststed,nettstad,kjelde_type,kjelde_url,henta_dato
PARK245 AV GRANDE MATHISEN,826561432,OSLO,Oslo,Økernveien 245B,0584,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/826561432,2026-04-27
PASHMINA 4 U Sharan Deep Kaur Bajwa,994618172,OSLO,Oslo,Lofsrudhøgda 13D,1281,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/994618172,2026-04-27
PATRICIA L. MORALES HERRERA,915683002,OSLO,Oslo,Geologsvingen 31,0380,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/915683002,2026-04-27
PEER GRAND FYSIOTERAPI OG TRENING,933994899,OSLO,Oslo,Frognerveien 62,0266,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933994899,2026-04-27
PENGER UTEN GRENSER AS,917529620,OSLO,Oslo,Waldemar Thranes gate 84,0175,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/917529620,2026-04-27
PERLEMOR UNGDOMSBEDRIFT,936387616,OSLO,Oslo,"Edvard Munch videregående skole, Ullevålsveien 5",0165,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936387616,2026-04-27
PERS UNGDOMSBEDRIFT,934339827,OSLO,Oslo,"Persbråten videregående skole, Gamle Hovsetervei 1",0768,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/934339827,2026-04-27
PETTER L AKER,998237564,OSLO,Oslo,"c/o Reidar T Johansen, Sørengkaia 105",0194,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/998237564,2026-04-27
PIANIST ANDREAS L. TAKLO,911810174,OSLO,Oslo,Pilotveien 10,0770,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/911810174,2026-04-27
PIERS L WHITE,832297062,OSLO,Oslo,Platous gate 33,0190,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/832297062,2026-04-27
PILESTREDET PARK UTOMHUSSAMEIE B & L,988911135,OSLO,Oslo,"c/o OBOS Eiendomsforvaltning AS, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/988911135,2026-04-27
PLANKEN UNGDOMSBEDRIFT,836697782,OSLO,Oslo,"Edvard Munch videregående skole, Ullevålsveien 5",0165,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/836697782,2026-04-27
POCKETPROTECT UNGDOMSBEDRIFT,934262298,OSLO,Oslo,"Kongshavn videregående skole, Kongsveien 30",0193,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/934262298,2026-04-27
POLARWAVE UNGDOMSBEDRIFT,936542654,OSLO,Oslo,"Ullern Videregående Skole, Ullernchausséen 66",0379,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936542654,2026-04-27
POPPY UNGDOMSBEDRIFT,936389333,OSLO,Oslo,"Edvard Munch videregående skole, Ullevålsveien 5",0165,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936389333,2026-04-27
PREPPA UNGDOMSBEDRIFT,936596533,OSLO,Oslo,"Persbråten videregående skole, Gamle Hovsetervei 1",0768,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936596533,2026-04-27
PRESS - REDD BARNA UNGDOM,881408112,OSLO,Oslo,Bøkkerveien 2,0579,OSLO,https://www.press.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/881408112,2026-04-27
PROJEKTKONSULT L- Å KARLSSON AKTIEBOLAG,994294652,OSLO,Oslo,"c/o grant Thornton Law, Bogstadveien 30",0355,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/994294652,2026-04-27
PSYKOLOG BEATE L. LARSEN,999004792,OSLO,Oslo,Gransdalen 29,1054,OSLO,https://www.psykolog-korttidsterapi.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/999004792,2026-04-27
PSYKOLOG MAREN KAROLINE L SKRÅMESTØ,934902629,OSLO,Oslo,Olaf Schous vei 12,0572,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/934902629,2026-04-27
PSYKOLOGISTUDENTER UTEN GRENSER OSLO,917791473,OSLO,Oslo,"Harald Schjelderups hus, Forskningsveien 3A",0373,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/917791473,2026-04-27
PUNTLAND UNGDOMSFORENING,918846484,OSLO,Oslo,"c/o Mohamed Abdi Hussein, Strømsveien 80B",0661,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/918846484,2026-04-27
PUREIOD UNGDOMSBEDRIFT,936893511,OSLO,Oslo,"Nydalen videregående skole, Nydalsveien 30C",0484,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936893511,2026-04-27
PURESIP UNGDOMSBEDRIFT,936540996,OSLO,Oslo,"Ullern vidregåne skole, Ullernchausséen 66",0379,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936540996,2026-04-27
PÅ GRENSEN Siri Heide Larsen,982295408,OSLO,Oslo,Hasleveien 1A,0571,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/982295408,2026-04-27
PÆNT IT UNGDOMSBEDRIFT,936735711,OSLO,Oslo,"Blindern videregående skole, Sognsveien 80",0855,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936735711,2026-04-27
QOYTA RESSURSSENTER FOR MINORITETS UNGDOM,999133029,OSLO,Oslo,Borggata 12B,0650,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/999133029,2026-04-27
QUDRAT ULLAH BUTT,980753883,OSLO,Oslo,Ammerudhellinga 60,0959,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/980753883,2026-04-27
QUICK SWEEP UNGDOMSBEDRIFT,936549810,OSLO,Oslo,"Bjerke videregående skole, Statsråd Mathiesens vei 25",0594,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936549810,2026-04-27
R & L TRANSPORT VICKNARASHA,932862123,OSLO,Oslo,Tokerudberget 12,0986,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932862123,2026-04-27
R OG L INVEST AS,925283177,OSLO,Oslo,Voksenhagen 8,0770,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/925283177,2026-04-27
R.I.O TRANSPORT INAM ULLAH,923143920,OSLO,Oslo,Brinken 2G,0654,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/923143920,2026-04-27
RAGNHILD BERLING GRANDE,928873331,OSLO,Oslo,Øvre Myrhaugen 6,0752,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/928873331,2026-04-27
RAMZAN-UL-HASSAN CONSULTING,928122298,OSLO,Oslo,Drivhusveien 3B,0678,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/928122298,2026-04-27
RANA RØD UNGDOM,934181573,OSLO,Oslo,Storgata 33,0184,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/934181573,2026-04-27
RAZVAN BULAI,926115499,OSLO,Oslo,Tante Ulrikkes vei 16A,0984,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/926115499,2026-04-27
REBALL UNGDOMSBEDRIFT,936998313,OSLO,Oslo,"Oslo Handelsgymnasium, Parkveien 65",0254,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936998313,2026-04-27
REBRN UNGDOMSBEDRIFT,936756603,OSLO,Oslo,"Heltberg Private Gymnas, Sognsveien 75B",0855,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936756603,2026-04-27
REDD ULLEVÅL SYKEHUS,920907091,OSLO,Oslo,"c/o Lene Christine Sundfær Haug, Waldemar Thranes gate 62D",0173,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/920907091,2026-04-27
REESTRAP UNGDOMSBEDRIFT,937291264,OSLO,Oslo,"Akademiet VGS Oslo, Pilestredet 56",0167,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937291264,2026-04-27
REGINE L ANTHONESSEN MEDIA,936184855,OSLO,Oslo,Toftes gate 55,0552,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936184855,2026-04-27
RELACE UNGDOMSBEDRIFT,936646018,OSLO,Oslo,"Kuben Videregående skole, Kabelgata 10",0581,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936646018,2026-04-27
RENTECH UNGDOMSBEDRIFT,836971892,OSLO,Oslo,"Vika videregående skole, Cort Adelers gate 30",0254,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/836971892,2026-04-27
RETOP UNGDOMSBEDRIFT,936665403,OSLO,Oslo,"Den norske skole Costa Blanca, Schweigaards gate 10",0185,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936665403,2026-04-27
RHINO GRANDE DRIFT AS,937451709,OSLO,Oslo,Blåsbortveien 13B,0873,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937451709,2026-04-27
RHINO GRANDE HOLDING AS,936331521,OSLO,Oslo,Blåsbortveien 13B,0873,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936331521,2026-04-27
RIMELIG TAXI UL-HASSAN,928058808,OSLO,Oslo,Høybråtenveien 1C,1055,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/928058808,2026-04-27
RINGERIKE OG HADELAND FREMSKRITTSPARTIETS UNGDOM,915280056,OSLO,Oslo,"c/o Fremskrittspartiets Ungdom, Karl Johans gate 25",0159,OSLO,https://fpu.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/915280056,2026-04-27
RIVER UNGDOMSBEDRIFT,936529836,OSLO,Oslo,"Kongshavn videregående skole, Kongsveien 30",0193,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936529836,2026-04-27
RNR BYGG ULF OTENDAL,881184222,OSLO,Oslo,Bergsliens gate 9A,0354,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/881184222,2026-04-27
ROBERT GRINDE,995445395,OSLO,Oslo,Nordahl Bruns gate 13,0165,OSLO,https://66.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/995445395,2026-04-27
ROBERT GRINDE AS,999213669,OSLO,Oslo,Nordahl Bruns gate 13,0165,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/999213669,2026-04-27
RODELØKKATERAPEUTENE MARIE E. L. NICKELSEN,931051733,OSLO,Oslo,"c/o Marie E. L. Nickelsen, Tromsøgata 21",0565,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931051733,2026-04-27
ROGALAND EUROPEISK UNGDOM,997522176,OSLO,Oslo,"Europeisk Ungdom, Prinsens gate 2",0152,OSLO,https://www.europeiskungdom.no/rogaland,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/997522176,2026-04-27
ROGALAND FREMSKRITSPRATIETS UNGDOM (FPU),992353457,OSLO,Oslo,Karl Johans gate 25,0159,OSLO,https://rogaland.fpu.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/992353457,2026-04-27
ROGALAND UNGDOM MOT EU,931791001,OSLO,Oslo,Schweigaards gate 34B,0191,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931791001,2026-04-27
ROLVSRUD PARK BLOKK L BORETTSLAG,991659978,OSLO,Oslo,"c/o OBOS Eiendomsforvaltning AS, Standardveien 1",0581,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/991659978,2026-04-27
ROMERIKE FREMSKRITTSPARTIS UNGDOM (FPU),990553823,OSLO,Oslo,Karl Johans gate 25,0159,OSLO,https://akershus.fpu.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/990553823,2026-04-27
ROSÈA UNGDOMSBEDRIFT,937018665,OSLO,Oslo,"Fyrstikkalléen skole, Fyrstikkalléen 21",0661,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937018665,2026-04-27
RUB & SHINE UNGDOMSBEDRIFT,936994865,OSLO,Oslo,"Stovner videregående skole, Karl Fossums vei 25",0985,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936994865,2026-04-27
RUDSHØGDA IV GRENDELAG,987859156,OSLO,Oslo,"v/OBOS Eiendomsforvaltning, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/987859156,2026-04-27
RUDSHØGDA TERRASSE GRENDELAG,987065508,OSLO,Oslo,"c/o Obos Eiendomsforvaltning AS, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/987065508,2026-04-27
RØD UNGDOM,975507033,OSLO,Oslo,Storgata 33,0184,OSLO,https://www.rødungdom.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/975507033,2026-04-27
S A L RIVRUD,933942171,OSLO,Oslo,Hofftunet 3,0377,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933942171,2026-04-27
SAFEANESTHESIA ULF DOUGLAS JOHAN MARC OUCHTERLONY,922095140,OSLO,Oslo,Diakonveien 12,0370,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922095140,2026-04-27
SAFEBAND UNGDOMSBEDRIFT,836578082,OSLO,Oslo,"Ullern videregående skole, Ullernchausséen 66",0379,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/836578082,2026-04-27
SAFELY UNGDOMSBEDRIFT,936653634,OSLO,Oslo,"Kongshavn videregående skole, Kongshavnveien 30",0193,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936653634,2026-04-27
SAFEPATCH UNGDOMSBEDRIFT,936738222,OSLO,Oslo,"Blindern videregående skole, Sognsveien 80",0855,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936738222,2026-04-27
SAFESTYLE UNGDOMSBEDRIFT,936731384,OSLO,Oslo,"Fyrstikkalleen videregående skole, Fyrstikkalléen 21",0661,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936731384,2026-04-27
SAHAL UNGDOMSKLUBB,990894108,OSLO,Oslo,Ullevålsalléen 2A,0850,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/990894108,2026-04-27
SAHAN UNGDOMSKLUBB,991478582,OSLO,Oslo,Nico Hambros vei 133,0969,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/991478582,2026-04-27
SAIF ULLAH,992929766,OSLO,Oslo,Høybråtenveien 3B,1055,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/992929766,2026-04-27
SALANGAI NARTHANALAYAM TAMILSK DANSE GRUPPE FOR BARN OG UNGDOM,993389862,OSLO,Oslo,Morells vei 7,0487,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/993389862,2026-04-27
SALAS L A SILION EVENTS,931602543,OSLO,Oslo,Valkyriegata 13A,0366,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931602543,2026-04-27
SAMEIET BJØRNDAL GRENDEHUS,983550398,OSLO,Oslo,Meklenborgåsen 114,1274,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/983550398,2026-04-27
SAMEIET BULIVEGEN,921356099,OSLO,Oslo,"c/o John Bongard, Nordåssløyfa 22A",1251,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/921356099,2026-04-27
SAMEIET BYGDØ ALLE 56,979404859,OSLO,Oslo,"c/o OBOS Eiendomsforvaltning AS, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/979404859,2026-04-27
SAMEIET BYGDØ ALLÉ 125,979358296,OSLO,Oslo,"c/o OBOS Eiendomsforvaltning AS, Freserveien 1",0195,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/979358296,2026-04-27
SAMEIET BYGDØY ALLE 109,985809402,OSLO,Oslo,Bygdøy allé 109,0273,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/985809402,2026-04-27
SAMEIET BYGDØY ALLE 115/117,981400038,OSLO,Oslo,"v/OBOS Eiendomsforvaltning AS, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/981400038,2026-04-27
SAMEIET BYGDØY ALLE 12,983658946,OSLO,Oslo,"c/o OBOS Eiendomsforvaltning AS, Freserveien 1",0195,OSLO,https://www.obos.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/983658946,2026-04-27
SAMEIET BYGDØY ALLE 13,885817432,OSLO,Oslo,Innspurten 11C,0663,OSLO,https://www.obf.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/885817432,2026-04-27
SAMEIET BYGDØY ALLE 15,982736099,OSLO,Oslo,Dronning Eufemias gate 16,0191,OSLO,https://www.solibo.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/982736099,2026-04-27
SAMEIET BYGDØY ALLE 17,984616899,OSLO,Oslo,"v/OBOS Eiendomsforvaltning AS, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/984616899,2026-04-27
SAMEIET BYGDØY ALLE 20,871272662,OSLO,Oslo,"v/ OBOS Eiendomsforvaltning AS, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/871272662,2026-04-27
SAMEIET BYGDØY ALLE 25,971271698,OSLO,Oslo,"c/o OBOS Eiendomsforvaltning, Hammersborg torg 1",0179,OSLO,https://www.oef.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/971271698,2026-04-27
SAMEIET BYGDØY ALLE 33,979275420,OSLO,Oslo,"v/OBOS Eiendomsforvaltning AS, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/979275420,2026-04-27
SAMEIET BYGDØY ALLE 37,974340690,OSLO,Oslo,Bygdøy allé 37,0265,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/974340690,2026-04-27
SAMEIET BYGDØY ALLE 38,816524172,OSLO,Oslo,Bygdøy allé 38,0265,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/816524172,2026-04-27
SAMEIET BYGDØY ALLE 45,982311616,OSLO,Oslo,"v/OBOS Eiendomsforvaltning AS, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/982311616,2026-04-27
SAMEIET BYGDØY ALLE 47,980039579,OSLO,Oslo,"v/Advokatfirmaet Røer ANS, Frogner Atrium, Frognerveien 10",0257,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/980039579,2026-04-27
SAMEIET BYGDØY ALLE 55,984590245,OSLO,Oslo,Bygdøy allé 55,0265,OSLO,https://www.solibo.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/984590245,2026-04-27
SAMEIET BYGDØY ALLE 62,987780339,OSLO,Oslo,"c/o OBOS Eiendomsforvaltning AS, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/987780339,2026-04-27
SAMEIET BYGDØY ALLE 63,985309620,OSLO,Oslo,Kirkegata 15,0153,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/985309620,2026-04-27
SAMEIET BYGDØY ALLE 64,982337623,OSLO,Oslo,"v/OAE Forretningsførsel AS, Drammensveien 165",0277,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/982337623,2026-04-27
SAMEIET BYGDØY ALLE 65,985243131,OSLO,Oslo,"v/OBOS Eiendomsforvaltning AS, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/985243131,2026-04-27
SAMEIET BYGDØY ALLE 69,979825692,OSLO,Oslo,Bygdøy allé 69A,0265,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/979825692,2026-04-27
SAMEIET BYGDØY ALLE 76,929407016,OSLO,Oslo,Bygdøy allé 76,0268,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/929407016,2026-04-27
SAMEIET BYGDØY ALLE 8,984243480,OSLO,Oslo,"c/o OBOS Eiendomsforvaltning AS, Freserveien 1",0195,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/984243480,2026-04-27
SAMEIET BYGDØY ALLE 88,986304223,OSLO,Oslo,Hammersborg torg 1,0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/986304223,2026-04-27
SAMEIET BYGDØY ALLE 90,981283058,OSLO,Oslo,Dronning Eufemias gate 16,0191,OSLO,https://www.solibo.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/981283058,2026-04-27
SAMEIET BYGDØY ALLÉ 34 *,920043232,OSLO,Oslo,"c/o OBF AS, Innspurten 11C",0663,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/920043232,2026-04-27
SAMEIET BYGDØY ALLÉ 51 B,976854837,OSLO,Oslo,"c/o ECIT Norian AS, Stortingsgata 2",0158,OSLO,https://www.norian.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/976854837,2026-04-27
SAMEIET BYGDØY ALLÉ 61,987631953,OSLO,Oslo,"c/o HBRI, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/987631953,2026-04-27
SAMEIET BYGDØY ALLÉ 67,991062866,OSLO,Oslo,Bygdøy Allé 67,0265,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/991062866,2026-04-27
SAMEIET BYGDØY ALLÉ 7,933684911,OSLO,Oslo,Bygdøy allé 7A,0257,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933684911,2026-04-27
SAMEIET BYGDØY ALLÉ 71,898615162,OSLO,Oslo,Bygdøy allé 71,0268,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/898615162,2026-04-27
SAMEIET BYGDØY KAPELLVEI 12,996848043,OSLO,Oslo,"c/o Mona H. Thorkildsen, Bygdøy Kapellvei 12",0287,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/996848043,2026-04-27
SAMEIET BYGDØY KAPELLVEI 6,925790303,OSLO,Oslo,"c/o Balder Vestad, Bygdøy Kapellvei 6",0287,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/925790303,2026-04-27
SAMEIET BYGDØY TERASSE 16,996841650,OSLO,Oslo,Kongens gate 12,0153,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/996841650,2026-04-27
SAMEIET BYGDØY TERRASSE 13-15-17,916690428,OSLO,Oslo,Bygdøy Terrasse 13-17,0287,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916690428,2026-04-27
SAMEIET BYGDØY TERRASSE 14,996950700,OSLO,Oslo,"c/o Trond Rudolf Larsen, Bygdøy terrasse 14B",0287,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/996950700,2026-04-27
SAMEIET ELLINGSRUD GRENDEHUS,976762452,OSLO,Oslo,"OBOS, Hammersborg torg 1",0179,OSLO,https://www.obos.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/976762452,2026-04-27
SAMEIET GRENSEN 12B,923818812,OSLO,Oslo,Grensen 12B,0159,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/923818812,2026-04-27
SAMEIET KJELSÅSVEIEN 137 F-L,993729353,OSLO,Oslo,"c/o Randi Kjørstad, Kjelsåsveien 137H",0491,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/993729353,2026-04-27
SAMEIET LOKKEBERGET GRENDELAG,919529105,OSLO,Oslo,Lokkeberget 1-6,0758,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919529105,2026-04-27
SAMEIET NEDRE ULLERN TERRASSE 3,933747875,OSLO,Oslo,"c/o Byggforvaltning AS, Bygdøy allé 111A",0273,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933747875,2026-04-27
SAMEIET NEDRE ULLEVÅL 1 OG 3,933752372,OSLO,Oslo,"c/o Heimstaden Norway AS, Sognsveien 9C",0450,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933752372,2026-04-27
SAMEIET NEDRE ULLEVÅL 2 OG 4,933565270,OSLO,Oslo,"c/o Heimstaden Norway AS, Sognsveien 9C",0450,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933565270,2026-04-27
SAMEIET SOLHELLINGA GRENDELAG,923312110,OSLO,Oslo,Dronning Eufemias gate 16,0191,OSLO,https://www.solibo.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/923312110,2026-04-27
SAMEIET SØNDRE RØD BYGGELAG III,913721500,OSLO,Oslo,Ostadalsveien 42 A+B,0753,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/913721500,2026-04-27
SAMEIET ULLENSAKERGATA 15,918710000,OSLO,Oslo,Ullensakergata 15,0655,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/918710000,2026-04-27
SAMEIET ULLENSAKERGATA 3,922268029,OSLO,Oslo,"c/o Anne Sofie Risnes, Ullensakergata 3B",0655,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922268029,2026-04-27
SAMEIET ULLENSAKERGATA 8-12,987795875,OSLO,Oslo,"c/o ECIT NORIAN AS, Stortingsgata 2",0158,OSLO,https://norian.no/eiendomsforvaltning,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/987795875,2026-04-27
SAMEIET ULLERN ALLE 6,887997942,OSLO,Oslo,Karenslyst allé 12,0278,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/887997942,2026-04-27
SAMEIET ULLERN ALLÉ 41,993813435,OSLO,Oslo,"v/ OBOS BBL, Standardveien 1",0581,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/993813435,2026-04-27
SAMEIET ULLERN GÅRDS VEI 7-9,997295153,OSLO,Oslo,Ullern Gårds vei 7-9,0382,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/997295153,2026-04-27
SAMEIET ULLERN GÅRDSVEI 11 B-L,989650254,OSLO,Oslo,Dronning Eufemias gate 16,0191,OSLO,https://www.solibo.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/989650254,2026-04-27
SAMEIET ULLERN VIEW,919035854,OSLO,Oslo,"c/o OBOS Eiendomsforvaltning AS, Hammersborg torg 1",0179,OSLO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919035854,2026-04-27
